# Pedigree data for the Lg/Sm mouse advanced intercross line. Each row 
# refers to an individual mouse.
#
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation
#  (3) sex (M = male, F = female)
#  (4) id of father
#  (5) id of mother
#
# Individual identifiers that are given special attention are:
#
#  -9999  genetically identical inbred Sm/j males
#  -9998  genetically identical inbred Lg/j females
#  -9997  genetically identical F1 male offspring from Sm/j x Lg/j cross
#  -9996  genetically identical F1 female offspring from Sm/j x Lg/j cross
#      0  unknown
#
id,generation,sex,sire,dam
855A,F2,F,-9997,-9996
856A,F2,F,-9997,-9996
857A,F2,F,-9997,-9996
858A,F2,F,-9997,-9996
859A,F2,M,-9997,-9996
860A,F2,F,-9997,-9996
861A,F2,M,-9997,-9996
862A,F2,M,-9997,-9996
863A,F2,M,-9997,-9996
864A,F2,F,-9997,-9996
865A,F2,M,-9997,-9996
866A,F2,M,-9997,-9996
867A,F2,M,-9997,-9996
868A,F2,M,-9997,-9996
869A,F2,M,-9997,-9996
870A,F2,F,-9997,-9996
871A,F2,M,-9997,-9996
872A,F2,F,-9997,-9996
873A,F2,F,-9997,-9996
874A,F2,M,-9997,-9996
921A,F2,F,-9997,-9996
922A,F2,F,-9997,-9996
923A,F2,M,-9997,-9996
924A,F2,F,-9997,-9996
925A,F2,M,-9997,-9996
926A,F2,M,-9997,-9996
927A,F2,M,-9997,-9996
928A,F2,M,-9997,-9996
929A,F2,M,-9997,-9996
930A,F2,F,-9997,-9996
931A,F2,M,-9997,-9996
932A,F2,F,-9997,-9996
933A,F2,M,-9997,-9996
934A,F2,F,-9997,-9996
935A,F2,F,-9997,-9996
937A,F2,F,-9997,-9996
938A,F2,F,-9997,-9996
939A,F2,M,-9997,-9996
940A,F2,F,-9997,-9996
942A,F2,F,-9997,-9996
943A,F2,M,-9997,-9996
944A,F2,F,-9997,-9996
945A,F2,F,-9997,-9996
946A,F2,F,-9997,-9996
947A,F2,M,-9997,-9996
948A,F2,F,-9997,-9996
949A,F2,F,-9997,-9996
950A,F2,F,-9997,-9996
952A,F2,M,-9997,-9996
953A,F2,F,-9997,-9996
954A,F2,M,-9997,-9996
955A,F2,M,-9997,-9996
956A,F2,F,-9997,-9996
957A,F2,M,-9997,-9996
958A,F2,M,-9997,-9996
959A,F2,M,-9997,-9996
960A,F2,F,-9997,-9996
961A,F2,F,-9997,-9996
962A,F2,F,-9997,-9996
963A,F2,M,-9997,-9996
970A,F2,F,-9997,-9996
971A,F2,M,-9997,-9996
972A,F2,F,-9997,-9996
973A,F2,M,-9997,-9996
974A,F2,M,-9997,-9996
975A,F2,F,-9997,-9996
976A,F2,F,-9997,-9996
977A,F2,F,-9997,-9996
978A,F2,M,-9997,-9996
979A,F2,F,-9997,-9996
980A,F2,M,-9997,-9996
981A,F2,F,-9997,-9996
982A,F2,M,-9997,-9996
983A,F2,F,-9997,-9996
984A,F2,M,-9997,-9996
985A,F2,M,-9997,-9996
986A,F2,M,-9997,-9996
987A,F2,M,-9997,-9996
988A,F2,M,-9997,-9996
989A,F2,M,-9997,-9996
990A,F2,M,-9997,-9996
991A,F2,F,-9997,-9996
992A,F2,F,-9997,-9996
993A,F2,F,-9997,-9996
994A,F2,F,-9997,-9996
