# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) litter id
#  (7) litter size  
#  (8) distance traveled (in cm) along periphery of box
#  (9) distance traveled (in cm) in center of box
# (10) proportion of time spent in center of box
# (11) fecal boli 1 
# (12) fecal boli 2
# (13) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
# (14) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
# (15) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
# Columns 8-10 are measurements obtained from "Open Field" testing,
# and columns 13-15 are measurements obtained from "Conditioned Fear"
# testing. Columns 16-18 are other phenotypes calculated from the
# "freezing" measurements.
#
id,generation,litterid,littersize,sex,coatcolor,age,distperiphery,distcenter,propcenter,FB1,FB2,pretrainfreeze,freezetocontext,freezetocue,learn,extinct,ctxtlearn
858A,F2,3,13,F,W,58,2189,671,0.1338,3,2,0.0125,0.0249,0.18305,8.93,-6.25,1.24
859A,F2,3,13,M,W,58,1352,823,0.2483,1,1,0.0214,0.0463,0.48215,62.5,-28.57,2.49
860A,F2,3,13,F,W,58,2726,1861,0.3308,2,0,0.0196,0.0658,0.1875,15.17,3.58,4.62
861A,F2,2,14,M,B,57,2688,141,0.049,0,0,0.032,0.0463,0.4107,34.82,7.14,1.43
862A,F2,2,14,M,B,57,2696,261,0.0503,4,3,0.0409,0.1993,0.4241,52.68,-29.46,15.84
863A,F2,2,14,M,B,57,4219,37,0.0102,5,7,0.0214,0.0713,0.13395,17.86,-8.93,4.99
864A,F2,2,14,F,B,57,2318,487,0.1357,2,1,0.0285,0.2687,0.66965,31.25,41.07,24.02
865A,F2,2,14,M,B,57,2504,829,0.1663,0,5,0.073,0.1192,0.2143,29.46,-26.78,4.62
866A,F2,2,14,M,B,57,1939,276,0.0922,4,3,0.1157,0.1406,0.20085,34.82,-31.25,2.49
867A,F2,2,14,M,B,57,3455,797,0.1612,5,1,0.0249,0.0907,0.5714,38.39,12.5,6.58
868A,F2,2,14,M,B,57,3819,565,0.0898,0,4,0.0712,0.1747,0.21425,34.82,-33.93,10.35
869A,F2,2,14,M,B,57,1894,388,0.1368,0,5,0.0641,0.1373,0.02675,4.46,-3.57,7.32
870A,F2,2,14,F,B,57,2522,338,0.0825,0,0,0.0356,0.0641,0.54915,53.58,-6.25,2.85
871A,F2,2,14,M,B,57,2309,300,0.0837,0,2,0.032,0.1676,0.43305,24.11,8.03,13.56
872A,F2,2,14,F,W,57,2893,409,0.0892,4,2,0.0125,0.0836,0.51785,60.71,-30.35,7.11
873A,F2,2,14,F,W,57,3029,344,0.068,0,3,0.0107,0.0214,0.37055,31.25,4.47,1.07
874A,F2,2,14,M,W,57,1855,935,0.1522,0,2,0.0107,0.0249,0.2232,25.89,-7.14,1.42
921A,F2,3,12,F,B,68,2793,678,0.1428,1,3,0.0409,0.0498,0,-1.77,0,0.89
922A,F2,3,12,F,B,68,2680,1183,0.1878,NA,NA,NA,NA,NA,NA,NA,NA
923A,F2,3,12,M,B,68,4707,1346,0.1252,5,6,0.0302,0.1818,0.1203,1.94,-13.44,15.16
924A,F2,3,12,F,B,68,2508,339,0.0838,2,4,0.0231,0.3256,0.23185,35.75,-32.21,30.25
925A,F2,3,12,M,B,68,3213,386,0.1122,1,1,0,0.0694,0.2405,35.71,-23.32,6.94
926A,F2,3,12,M,B,68,2281,578,0.1413,0,5,0.0535,0.0516,0.20535,41.07,-41.07,-0.19
927A,F2,3,12,M,B,68,2715,549,0.1192,1,2,0.0125,0.107,0.55075,30.5,17.29,9.45
928A,F2,3,12,M,B,68,3525,585,0.1267,0,5,0.0339,0.0552,0.2497,42.86,-35.78,2.13
929A,F2,3,12,M,B,68,2346,415,0.1187,1,5,0.0107,0.0587,0.0579,3.62,-6.28,4.8
930A,F2,3,12,F,W,68,1655,315,0.1792,2,1,0.0089,0.226,0.52035,59.82,-15.57,21.71
931A,F2,3,12,M,W,68,3768,2144,0.2363,3,2,0.0178,0.057,0.40995,64.29,-46.59,3.92
932A,F2,3,12,F,W,68,2355,1,0.0007,0,0,0.0036,0.0302,0.4801,50,-3.98,2.66
933A,F2,3,7,M,B,67,2419,481,0.124,3,5,0.032,0.0178,0.0223,4.46,-4.46,-1.42
934A,F2,3,7,F,B,67,2710,279,0.0893,3,3,0.048,0.1982,0.19155,25.89,-20.61,15.02
935A,F2,3,7,F,B,67,1911,29,0.0267,3,4,0.0623,0.2339,0.6893,67.86,-19.28,17.16
937A,F2,3,7,F,B,67,3283,455,0.1193,0,3,0.0391,0.1159,0.29745,23.21,13.07,7.68
938A,F2,3,7,F,W,67,1240,401,0.1162,2,1,0.0285,0.5847,0.4533,44.64,1.38,55.62
939A,F2,3,7,M,W,67,1421,61,0.1433,2,7,0.0409,0.0374,0.2005,29.49,-24.18,-0.35
940A,F2,2,11,F,B,65,2622,713,0.117,4,3,0.0089,0.0907,0.1652,33.04,-33.04,8.18
942A,F2,2,11,F,B,65,3271,191,0.043,3,4,0.0231,0.3826,0.2002,20.57,-8.18,35.95
943A,F2,2,11,M,B,65,NA,NA,NA,0,5,0.0071,0.29,0.54685,24.41,-6.71,28.29
944A,F2,2,11,F,B,65,NA,NA,NA,0,8,NA,NA,NA,0.2,-6.4,5.71
945A,F2,2,11,F,B,65,NA,NA,NA,4,5,NA,NA,NA,77.68,7.28,63.11
946A,F2,2,11,F,W,65,NA,NA,NA,0,7,NA,NA,NA,49.11,-14.6,22.28
947A,F2,2,11,M,W,65,NA,NA,NA,3,4,NA,NA,NA,33.93,17.4,39.5
948A,F2,2,11,F,W,65,2413,314,0.12,4,6,NA,NA,NA,59.85,-50.12,9.25
949A,F2,2,11,F,W,65,2908,212,0.0567,4,2,0.0089,0.2865,0.3032,34.1,-44.72,27.76
950A,F2,2,11,F,W,65,3754,530,0.1138,1,1,0.0071,0.1637,0.4133,36.64,2.3,15.66
952A,F2,2,14,M,A,64,2514,437,0.0688,4,2,0.0982,0.0911,0.1874,33.94,-33.94,-0.71
953A,F2,2,14,F,A,64,NA,NA,NA,4,3,0.0534,0.1886,0.61855,55.57,-35.21,13.52
954A,F2,2,14,M,A,64,3358,707,0.1637,1,2,NA,NA,NA,1.79,3.52,3.21
955A,F2,2,14,M,A,64,NA,NA,NA,4,3,0.0854,0.0427,0.0845,9.82,-2.74,-4.27
956A,F2,2,14,F,A,64,NA,NA,NA,1,2,NA,NA,NA,34.82,-33.05,1.07
957A,F2,2,14,M,A,64,NA,NA,NA,2,7,NA,NA,NA,26.03,-12.75,4.28
958A,F2,2,14,M,A,64,2303,359,0.0925,0,4,NA,NA,NA,18.14,-39.38,8.93
959A,F2,2,14,M,B,64,3261,150,0.0713,0,1,0.0285,0.0804,0.04455,7.14,-5.37,5.19
960A,F2,2,14,F,B,64,NA,NA,NA,0,1,0.0089,0.0676,0.2407,37.52,-30.44,5.87
961A,F2,2,14,F,W,64,2138,525,0.1283,0,1,NA,NA,NA,48.23,-19.91,1.6
962A,F2,2,14,F,W,64,NA,NA,NA,2,1,0.0178,0.016,0.573,48.23,14.6,-0.18
963A,F2,2,14,M,W,64,2872,897,0.1778,1,5,NA,NA,NA,2.68,0.86,-0.71
970A,F2,3,12,F,B,55,NA,NA,NA,2,5,0.0089,0.0872,0.30265,33.1,-18.05,7.83
971A,F2,3,12,M,B,55,2923,355,0.0697,3,5,NA,NA,NA,36.65,-26.03,38.79
972A,F2,3,12,F,B,55,5516,644,0.1073,0,1,0,0.4858,0.608,41.07,39.46,48.58
973A,F2,3,12,M,B,55,3545,701,0.1155,4,3,0.016,0.032,0.1828,21.52,-27.72,1.6
974A,F2,3,12,M,B,55,1968,359,0.1203,5,8,0.0658,0.1726,0.2855,36.75,-48.26,10.68
975A,F2,3,12,F,B,55,6433,1699,0.1563,0,2,NA,NA,NA,NA,NA,NA
976A,F2,3,12,F,B,55,2481,277,0.0708,0,5,0.0196,0.0801,0.23115,22.34,-1.99,6.05
977A,F2,3,12,F,B,55,NA,NA,NA,1,3,0.0765,0.0854,0.56435,17.29,3.95,0.89
978A,F2,3,12,M,B,55,2961,176,0.1473,1,1,NA,NA,NA,27.68,-27.68,6.23
979A,F2,3,12,F,B,55,3763,732,0.1067,1,2,0.05,0.0641,0.1247,-3.38,-10.78,1.41
980A,F2,3,12,M,W,55,2341,1409,0.2017,3,1,0.0071,0.0943,0.40955,53.59,-28.81,8.72
981A,F2,3,12,F,W,55,5682,1739,0.1757,0,1,0,0.0589,0.25,46.46,-50,5.89
982A,F2,1,11,M,B,65,1048,114,0.236,7,3,0.0894,0.3096,0.15625,24.11,-24.11,22.02
983A,F2,1,11,F,B,65,2785,299,0.0943,4,3,0.0463,0.1477,0.3348,33.03,-2.68,10.14
984A,F2,1,11,M,B,65,2038,38,0.0373,1,3,0.032,0.0605,0.0982,16.07,-17.86,2.85
985A,F2,1,11,M,B,65,2817,226,0.055,5,4,0.0465,0.2918,0.5848,58.93,-33.04,24.53
986A,F2,1,11,M,B,65,2839,334,0.0913,2,6,0.0555,0.3185,0.19645,10.71,-10.71,26.3
987A,F2,1,11,M,B,65,3127,619,0.1247,0,5,0.0534,0.0907,0.1964,25,-12.5,3.73
988A,F2,1,11,M,B,65,4630,231,0.0445,2,2,0.0572,0.1993,0.2946,30.35,-12.5,14.21
989A,F2,1,11,M,W,65,2585,697,0.1128,1,1,0.0214,0.0569,0.5893,72.32,-26.78,3.55
990A,F2,1,11,M,W,65,4370,849,0.1152,1,3,0.016,0.0409,0.125,16.97,-16.08,2.49
991A,F2,1,11,F,W,65,2198,675,0.1513,3,1,0.0196,0.0783,0.34375,50,-34.83,5.87
992A,F2,1,11,F,W,65,5335,1469,0.1247,3,2,0.0285,0.0854,0.33035,33.93,-1.79,5.69
993A,F2,4,13,F,B,64,3256,453,0.0875,0,3,0.0285,0.0979,0.3929,35.72,0,6.94
994A,F2,4,13,F,B,64,2579,157,0.054,2,3,0.0445,0.0872,0.50895,22.32,41.07,4.27
995A,F2,4,13,M,B,64,1899,163,0.0543,3,2,0.0267,0.4128,0.62095,52.75,15.09,38.61
996A,F2,4,13,F,B,64,2990,493,0.0747,3,2,0.0427,0.0961,0.1071,16.07,-12.5,5.34
997A,F2,4,13,F,B,64,2633,113,0.0357,1,1,0.0196,0.169,0.3705,42.85,-15.18,14.94
998A,F2,4,13,M,B,64,2496,325,0.0978,1,4,0.0624,0.1779,0.27995,29.14,-14.91,11.55
999A,F2,4,13,M,B,64,2654,42,0.0202,1,5,0.0909,0.4395,0.75755,79.14,-17.59,34.86
1000A,F2,4,13,F,B,64,1772,76,0.0132,1,1,0.0712,0.1085,0.22325,25.9,-21.43,3.73
1001A,F2,4,13,F,B,64,3754,939,0.1313,1,5,0.0676,0.1762,0.5759,37.5,15.18,10.86
1002A,F2,4,13,M,B,64,3878,318,0.0608,3,4,0.0357,0.306,0.17225,25.49,-23.73,27.03
1003A,F2,4,13,F,B,64,2800,19,0.0078,2,4,0.0427,0.0801,0.125,17.86,-19.64,3.74
1004A,F2,4,13,M,B,63,1760,27,0.0125,0,0,0.0374,0.1014,0.1786,24.11,-12.5,6.4
1005A,F2,4,13,M,B,63,3365,431,0.1067,5,3,0.0836,0.4688,0.4375,36.61,-5.36,38.52
1006A,F2,4,13,M,B,63,2563,383,0.0972,1,4,0.0249,0.2171,0.2589,30.35,-12.5,19.22
1007A,F2,4,13,F,B,63,2409,129,0.0348,4,5,0.0232,0.411,0.625,-6.25,19.64,38.78
1008A,F2,4,13,M,B,63,2819,577,0.1008,0,2,0.1228,0.1619,0.40625,43.75,-8.03,3.91
1009A,F2,4,13,M,B,63,3419,956,0.1773,2,2,0.0427,0.3167,0.1607,26.78,-26.78,27.4
1010A,F2,4,13,F,B,64,2608,206,0.0697,1,2,0.0658,0.0996,0.1161,8.04,-5.36,3.38
1011A,F2,4,13,M,B,63,2379,153,0.0625,2,4,0.0338,0.2959,0.80805,82.15,-4.47,26.21
1012A,F2,4,13,M,B,63,2119,463,0.1547,0,0,0.0623,0.3025,0.5893,70.54,-23.22,24.02
1013A,F2,4,13,F,B,63,2659,325,0.1063,2,4,0.0499,0.484,0.7857,36.61,14.28,43.41
1014A,F2,4,13,M,B,63,2620,668,0.133,4,2,0.0765,0.1373,0.6696,65.17,-12.5,6.08
1015A,F2,4,13,F,W,63,2231,883,0.1493,4,2,0.0143,0.0374,0.1339,20.53,-17.86,2.31
1016A,F2,4,13,M,W,63,2550,675,0.1488,0,1,0.0196,0.0445,0.3214,45.53,-30.36,2.49
1017A,F2,4,13,F,W,63,3171,723,0.0862,3,1,0.041,0.0569,0.53125,58.03,-13.39,1.59
1018A,F2,4,12,F,B,59,2076,156,0.0857,0,3,0.0552,0.121,0.14735,14.29,-6.25,6.58
1019A,F2,4,12,M,B,59,3869,621,0.106,3,3,0.0178,0.0712,0.1518,19.64,-12.5,5.34
1020A,F2,4,13,F,B,64,3173,310,0.1458,1,3,0.0516,0.2135,0.18305,19.64,-6.25,16.19
1021A,F2,4,12,M,B,59,1615,376,0.0973,1,2,0.0516,0.2224,0.07145,7.15,-1.79,17.08
1022A,F2,4,12,F,B,59,2705,409,0.147,1,3,0.0338,0.0943,0.2232,-3.57,14.28,6.05
1023A,F2,4,12,M,B,59,3455,418,0.0932,2,6,0.0587,0.226,0.5848,52.68,9.82,16.73
1024A,F2,4,12,F,B,59,2990,313,0.0373,1,3,0.0302,0.3808,0.28125,23.22,0.89,35.06
1025A,F2,4,12,F,B,59,2069,26,0.0165,4,4,0.0214,0.1815,0.3348,20.53,-15.18,16.01
1026A,F2,4,12,F,B,59,2291,386,0.0938,3,2,0.0338,0.032,0.0848,10.71,-4.46,-0.18
1027A,F2,4,12,F,B,59,2648,128,0.0362,4,0,0.0498,0.5356,0.8036,51.79,12.5,48.58
1028A,F2,4,12,F,B,59,3257,242,0.044,1,3,0.0338,0.1068,0.2098,18.75,-4.46,7.3
1029A,F2,4,12,M,W,59,3446,1078,0.1475,4,4,0.0605,0.0747,0.2902,36.61,-16.96,1.42
1030A,F2,4,12,M,W,59,2715,1163,0.2035,2,1,0.0125,0.0391,0.125,9.82,3.58,2.66
1031A,F2,4,13,M,B,58,3324,660,0.1493,3,8,0.0534,0.2242,0.5268,60.72,-37.5,17.08
1032A,F2,4,13,F,B,58,1987,103,0.0332,6,3,0.0374,0.1121,0.74555,56.25,31.25,7.47
1033A,F2,4,13,F,B,58,2192,272,0.0755,3,4,0.0907,0.1993,0.1116,16.07,-13.4,10.86
1034A,F2,4,13,M,B,58,2554,398,0.1138,3,6,0.0587,0.1779,0.2768,28.58,-10.72,11.92
1035A,F2,4,13,M,B,58,2672,724,0.1713,2,6,0.0587,0.1622,0.31695,33.93,-13.39,10.35
1036A,F2,4,13,M,B,58,2937,586,0.1067,1,0,0.0356,0.0107,0.04015,-1.79,-0.89,-2.49
1037A,F2,4,13,F,B,58,2746,342,0.086,2,4,0.0872,0.1441,0.15625,19.65,-22.33,5.69
1038A,F2,4,13,M,B,58,2990,206,0.0672,0,3,0.1032,0.0427,0.18305,24.11,-11.61,-6.05
1039A,F2,4,13,F,B,58,2663,510,0.1123,5,3,0.0249,0.1174,0.01785,0.89,1.79,9.25
1040A,F2,4,13,F,W,58,2246,337,0.0775,2,1,0.0356,0.0391,0.8616,54.46,15.18,0.35
1041A,F2,4,13,F,W,58,2604,391,0.1078,3,3,0.0249,0.105,0.53125,36.61,25.89,8.01
1042A,F2,4,13,F,W,58,2089,554,0.1788,2,2,0.0409,0.0231,0.692,58.04,22.32,-1.78
1043A,F2,4,13,M,W,58,4405,537,0.0768,1,0,0.0427,0.1601,0.53125,41.97,-4.47,11.74
1044A,F2,4,12,F,B,60,2927,339,0.0997,3,4,0.0836,0.2509,0.52235,35.72,13.39,16.73
1045A,F2,4,12,M,B,60,2638,212,0.0795,3,4,0.0338,0.2438,0.32585,33.03,-6.25,21
1046A,F2,4,12,M,B,60,1909,134,0.0622,6,7,0.0178,0.0765,0.1518,0.9,19.64,5.87
1047A,F2,4,12,M,B,60,2968,52,0.0308,4,3,0.0552,0.242,0.42855,44.64,-23.21,18.68
1048A,F2,4,12,M,B,60,2999,319,0.0713,4,4,0.048,0.2206,0.5625,78.57,-46.42,17.26
1049A,F2,4,12,F,B,60,2820,485,0.0957,0,2,0.0747,0.0516,0.24105,32.14,-28.57,-2.31
1050A,F2,4,12,M,B,60,2531,588,0.1228,3,2,0.0231,0.1512,0.5223,58.93,-15.18,12.81
1051A,F2,4,12,M,B,60,3804,1579,0.1688,0,2,0.0854,0.153,0.2723,17.86,-8.04,6.76
1052A,F2,4,12,F,B,60,166,5,0.0078,3,6,0.0409,0.3612,0.82585,68.75,-6.25,32.03
1053A,F2,4,12,M,B,60,2666,563,0.1133,3,4,0.0569,0.3167,0.09375,8.93,-6.25,25.98
1054A,F2,4,12,F,W,60,2705,544,0.1348,2,6,0.0498,0.1797,0.7009,42.85,0.9,12.99
1055A,F2,4,12,F,B,60,3291,281,0.0725,2,3,0.0819,0.2189,0.33035,33.93,-33.93,13.7
1056A,F2,2,15,F,B,57,2679,554,0.0827,2,2,0.0445,0.121,0.25445,13.32,8.03,7.65
1057A,F2,2,15,M,B,57,3128,180,0.1392,0,3,0.0498,0.1584,0.7589,58.93,32.14,10.86
1058A,F2,2,15,M,B,57,2484,247,0.0667,0,0,0.0783,0.1085,0.3616,17.86,22.32,3.02
1059A,F2,2,15,F,B,57,1806,21,0.011,5,2,0.032,0.2242,0.79465,57.15,17.85,19.22
1060A,F2,2,15,M,B,57,2429,193,0.0948,1,4,0.048,0.1281,0.12055,12.5,-16.97,8.01
1061A,F2,2,15,M,B,57,2860,864,0.168,1,4,0.1014,0.1103,0.0491,3.57,-2.68,0.89
1062A,F2,2,15,F,B,57,2824,264,0.0832,4,2,0.0285,0.411,0.8482,47.32,17.86,38.25
1064A,F2,2,15,M,B,57,2724,281,0.0543,2,3,0.0463,0.1032,0.0268,-7.14,-1.78,5.69
1065A,F2,2,15,F,W,57,1677,736,0.1745,2,3,0.0285,0.105,0.71425,71.42,-16.07,7.65
1066A,F2,2,15,M,W,57,393,60,0.0318,1,3,0.0142,0.1708,0.9821,91.07,0,15.66
1067A,F2,2,15,M,W,57,2509,210,0.0507,2,4,0.032,0.0463,0.5759,68.75,-25.9,1.43
1068A,F2,2,15,F,W,57,1898,523,0.1218,2,4,0.0374,0.1637,0.78125,31.25,33.03,12.63
1069A,F2,2,15,F,W,57,2190,700,0.1842,4,3,0.0285,0.0712,0.46425,42.85,3.57,4.27
1070A,F2,2,15,F,W,57,3061,517,0.0895,3,1,0.0178,0.1495,0.70535,58.93,1.79,13.17
1071A,F2,3,13,F,B,69,2903,280,0.0787,4,4,0.0214,0.1851,0.8214,72.32,-7.14,16.37
1072A,F2,3,13,M,B,69,3128,841,0.1517,3,3,0.0107,0.5641,0.30805,25.9,8.03,55.34
1073A,F2,3,13,M,B,69,2288,184,0.0792,4,3,0.0285,0.242,0.30355,31.25,-3.57,21.35
1074A,F2,3,13,M,B,69,2708,906,0.1628,5,3,0.0302,0.0943,0.07145,10.72,-8.93,6.41
1075A,F2,3,13,F,B,69,2965,379,0.076,2,5,0.0907,0.105,0.74105,77.68,-26.79,1.43
1076A,F2,3,13,M,B,69,3534,111,0.0298,2,5,0.0498,0.4555,0.5893,34.83,26.78,40.57
1077A,F2,3,13,M,B,69,2615,167,0.0553,4,5,0.073,0.048,0.0893,13.4,-10.72,-2.5
1078A,F2,3,13,M,B,69,2786,651,0.1275,0,0,0.1103,0.0676,0.44195,15.18,33.03,-4.27
1079A,F2,3,13,M,W,69,2494,787,0.1257,2,1,0.0302,0.048,0.1384,9.82,-8.04,1.78
1080A,F2,3,13,M,W,69,2767,282,0.0817,3,1,0.0338,0.0658,0.19195,27.67,-20.53,3.2
1081A,F2,3,13,M,W,69,3009,276,0.0447,4,5,0.0356,0.048,0.20985,29.47,-18.75,1.24
1082A,F2,3,13,F,W,69,2789,548,0.1082,6,5,0.0231,0.0836,0.7143,80.36,-26.78,6.05
1083A,F2,3,13,F,B,69,2139,65,0.0662,1,3,0.0569,0.1868,0.37055,36.61,-8.03,12.99
1085A,F2,5,17,F,B,66,3272,9,0.004,5,2,0.0587,0.0713,0.7723,50,9.82,1.26
1086A,F2,5,17,M,B,66,3830,1035,0.1042,8,3,0.0463,0.1637,0.6429,63.4,0,11.74
1088A,F2,5,17,M,B,66,3523,634,0.1105,3,3,0.0801,0.0694,0.3036,36.61,-17.86,-1.07
1089A,F2,5,17,M,B,66,2664,93,0.0235,3,4,0.0623,0.1655,0.34825,7.15,28.57,10.32
1090A,F2,5,17,F,B,66,2708,180,0.089,1,1,0.048,0.3102,0.85715,64.29,16.07,26.22
1091A,F2,5,17,M,B,66,2408,174,0.0845,2,1,0.1299,0.242,0.48215,38.39,1.79,11.21
1092A,F2,5,17,F,B,66,2431,290,0.0733,NA,1,0.0374,0.0819,0.39285,19.64,35.71,4.45
1093A,F2,5,17,M,B,66,3615,486,0.0735,1,9,0.0658,0.0463,0.0625,4.46,-1.78,-1.95
1094A,F2,5,17,F,B,66,2332,622,0.1215,2,3,0.0694,0.3826,0.37945,15.18,24.11,31.32
1095A,F2,5,17,M,B,66,3428,187,0.0448,0,3,0.0961,0.2544,0.2768,30.36,-14.28,15.83
1096A,F2,5,17,F,B,66,2846,544,0.12,1,4,0.0302,0.0712,0.0759,13.39,-11.6,4.1
1097A,F2,5,17,M,W,66,2760,694,0.1022,0,1,0.0569,0.2313,0.91965,83.04,10.71,17.44
1098A,F2,5,17,F,W,66,1384,501,0.2085,1,1,0.0231,0.0945,0.5,47.32,1.78,7.14
1099A,F2,5,17,F,W,66,3335,929,0.1543,1,1,0.0231,0.2977,0.9732,66.07,5.36,27.46
1100A,F2,5,17,F,W,66,2595,1130,0.1872,0,3,0.0214,0.1319,0.3259,36.61,-8.04,11.05
1101A,F2,4,9,M,A,65,2120,284,0.0933,2,6,0.0819,0.274,0.41515,32.14,-13.39,19.21
1102A,F2,4,9,M,A,65,1523,53,0.0488,4,3,0.1121,0.3986,0.0848,8.93,-15.18,28.65
1103A,F2,4,9,F,A,65,4059,135,0.0567,6,9,0.0695,0.3007,0.6741,25.89,34.82,23.12
1104A,F2,4,9,F,A,65,6256,429,0.0468,1,4,0.0838,0.1779,0.10715,0,3.57,9.41
1105A,F2,4,9,M,B,65,3548,442,0.0833,3,4,0.0498,0.1833,0.60265,63.39,-6.25,13.35
1106A,F2,4,9,M,B,65,2403,2,0.0045,5,8,0.0765,0.073,0.21875,20.53,-8.03,-0.35
1107A,F2,4,9,M,B,65,2763,936,0.2195,0,8,0.0374,0.4039,0.3214,18.75,19.64,36.65
1108A,F2,4,9,F,B,65,6136,347,0.0647,6,6,0.0267,0.1922,0.10265,10.71,-11.61,16.55
1109A,F2,4,9,F,W,65,1836,66,0.0325,1,1,0.0178,0.0765,0.75445,70.53,6.25,5.87
1110A,F2,4,13,F,A,63,3341,88,0.0253,0,5,0.0534,0.2064,0.58485,43.75,-0.89,15.3
1111A,F2,4,13,M,A,63,3169,436,0.0812,2,5,0.0996,0.0979,0.1875,17.85,-8.92,-0.17
1112A,F2,4,13,M,A,63,2406,252,0.085,1,6,0.0996,0.2598,0.35715,32.14,-5.35,16.02
1113A,F2,4,13,F,A,63,2350,472,0.097,3,6,0.0623,0.2011,0.1964,8.03,5.36,13.88
1114A,F2,4,13,F,B,63,2706,392,0.1125,1,3,0.1299,0.1762,0.49105,65.18,-53.57,4.63
1115A,F2,4,13,M,B,63,3283,941,0.1468,0,5,0.0836,0.2295,0.11605,7.14,-1.79,14.59
1116A,F2,4,13,F,B,63,2530,239,0.1055,1,3,0.0623,0.0658,0.0402,2.68,-4.46,0.35
1117A,F2,4,13,F,B,63,2742,71,0.0352,3,5,0.048,0.1299,0.2232,21.43,0,8.19
1118A,F2,4,13,F,B,63,3609,667,0.152,4,5,0.0552,0.073,0.08035,0,1.79,1.78
1119A,F2,4,13,M,B,63,2722,256,0.0805,2,6,0.0196,0.0427,0.13395,25,-23.21,2.31
1120A,F2,4,13,F,W,63,3045,501,0.0852,1,1,0.0338,0.0641,0.22765,31.25,-18.75,3.03
1121A,F2,4,13,F,W,63,3104,455,0.1145,3,1,0.0302,0.0658,0.2589,29.46,-17.86,3.56
1122A,F2,4,13,M,W,63,1818,369,0.1307,0,1,0.0569,0.0694,0.1473,16.96,-9.82,1.25
1144A,F2,3,14,F,A,67,2640,553,0.0887,2,2,0.0249,0.0391,0.25895,28.57,-28.57,1.42
1145A,F2,3,14,M,A,67,2911,1115,0.1608,2,3,0.1174,0.137,0.2589,11.6,-12.5,1.96
1146A,F2,3,14,F,A,67,2624,537,0.086,3,8,0.137,0.1495,0.0982,2.68,-7.14,1.25
1147A,F2,3,14,M,A,67,1780,750,0.2315,1,0,0.0961,0.1157,0.11605,11.61,-8.93,1.96
1148A,F2,3,14,M,A,67,3441,848,0.1388,2,4,0.0569,0.2295,0.09375,6.18,-9.83,17.26
1149A,F2,3,14,F,A,67,2703,508,0.073,2,2,0.0516,0.0872,0.2366,13.4,11.6,3.56
1150A,F2,3,14,F,A,67,2995,271,0.0467,5,2,0.0445,0.1708,0.20535,4.46,1.79,12.63
1151A,F2,3,14,F,B,67,2115,418,0.1332,4,3,0.0676,0.0996,0.03125,0,0.89,3.2
1152A,F2,3,14,M,B,67,3031,566,0.1232,0,0,0.0587,0.1121,0.03125,2.67,-2.67,5.34
1153A,F2,3,14,F,B,67,3387,780,0.0878,3,4,0.0142,0.1085,0.0848,10.71,-4.46,9.43
1154A,F2,3,14,M,W,67,2887,495,0.1195,1,4,0.0285,0.0907,0.38395,46.37,-28.57,6.22
1155A,F2,3,14,M,W,67,2782,665,0.1568,2,2,0.0516,0.0943,0.49555,57.06,-33.03,4.27
1156A,F2,3,14,F,W,67,2114,1282,0.2538,2,1,0.0409,0.0463,0.2366,14.28,-4.46,0.54
1157A,F2,3,14,F,W,67,2112,494,0.1045,1,1,0.0053,0.0302,0.83485,53.57,6.25,2.49
1224A,F2,3,13,M,B,55,5718,437,0.0788,2,3,0.0338,0.194,0.70535,74.96,-17.85,16.02
1225A,F2,3,13,M,B,55,4681,332,0.0757,0,4,0.121,0.2349,0.5759,65.14,-24.1,11.39
1226A,F2,3,13,M,B,55,3973,284,0.0703,0,6,0.0658,0.1922,0.32145,14.14,3.57,12.64
1227A,F2,3,13,M,B,55,2390,154,0.0408,2,2,0.1228,0.0552,0.0982,15.18,-10.72,-6.76
1228A,F2,3,13,F,B,55,2100,218,0.0737,2,1,0.0605,0.3754,0.8214,71.36,7.14,31.49
1229A,F2,3,13,F,B,55,2057,707,0.1272,1,2,0.0587,0.1495,0.6875,45.36,7.14,9.08
1230A,F2,3,13,M,B,55,2231,269,0.0882,3,3,0.0641,0.2585,0.8616,15.18,4.46,19.44
1231A,F2,3,13,M,B,55,2046,330,0.1543,4,1,0.0535,0.1655,0.72325,41.97,21.43,11.2
1232A,F2,3,13,F,W,55,504,0,0.0018,3,2,0.0142,0.016,0.2723,26.73,-9.82,0.18
1233A,F2,3,13,M,W,55,2802,606,0.175,0,0,0.0409,0.0677,0.76785,74.11,-3.57,2.68
